"fact_id","category","field_name_zh","field_name_en","current_website_value","other_source_values","candidate_master_value","approved_public_wording_zh","approved_public_wording_en","evidence_status","approval_status","visibility","evidence_sources","conflict_summary","affected_pages","review_owner_role","approved_by","approved_date","last_verified","notes"
"identity-legal-name-zh","IDENTITY","法定中文名称","Legal name in Chinese","","重庆驰翔摩托车制造有限公司（重庆市2025年高新技术企业名单）","重庆驰翔摩托车制造有限公司","","","VERIFIED","APPROVED_PUBLIC","PUBLIC","https://m.sme-gov.cn/chongqing/news/83389.html | repo:docs/geo-entity/GEO_ENTITY_MATRIX.csv | owner-confirmation:2026-07-29","官网未显示中文法定名称；公开政府名单支持该中文名称，但仍需用营业执照确认规范字形。","https://chixiangmotor.com/en/about | https://chixiangmotor.com/en/","Company Management","Site Owner","2026-07-29","2026-07-29","只记录公开名单，不在仓库保存营业执照扫描件。 唯一审核人确认（2026-07-29）：保留当前值。"
"identity-legal-name-en","IDENTITY","法定英文名称","Legal name in English","Chongqing Chixiang Motorcycle Manufacturing Co., Ltd.","Made-in-China供应商资料使用相同英文名称","Chongqing Chixiang Motorcycle Manufacturing Co., Ltd.","","","VERIFIED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/about | https://chixiangmotor.com/en/ | https://www.made-in-china.com/showroom/54ec637d2ca466df/ | repo:en/about.html | repo:en/index.html | owner-confirmation:2026-07-29","英文名称在官网和公开供应商资料中一致；仍需公司确认其批准的英文法律译名。","https://chixiangmotor.com/en/about | https://chixiangmotor.com/en/","Company Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：保留当前值。"
"identity-brand-name","IDENTITY","品牌名称","Brand name","Chixiang Motor | CHIXIANG MOTOR","网站域名和Logo使用chixiangmotor字样","Chixiang Motor | CHIXIANG MOTOR","","","VERIFIED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/ | repo:en/index.html | repo:images/logo.webp | owner-confirmation:2026-07-29","大小写形式一致指向同一品牌，但尚无批准的品牌规范表。","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about","Brand Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：保留当前值。"
"identity-brand-aliases","IDENTITY","允许使用的品牌别名","Approved brand aliases","Chixiang Motor | CHIXIANG MOTOR | chixiangmotor","CX MOTOR（项目内部曾使用，公开品牌地位未确认）","Chixiang Motor | CHIXIANG MOTOR | chixiangmotor","","","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/ | repo:images/logo.webp | repo:docs/geo-entity/GEO_ENTITY_AUDIT.md | owner-confirmation:2026-07-29","CX MOTOR是否为正式辅助品牌、缩写或仅内部称呼尚未确认。","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about","Brand Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：保留当前值。"
"history-founded-year","HISTORY","成立年份","Founded year","2003","Made-in-China供应商资料称2007","Industry experience since 2003; Chongqing Chixiang Motorcycle Manufacturing Co., Ltd. registered in 2007","自2003年起从事摩托车发动机行业；重庆驰翔摩托车制造有限公司于2007年注册。","Active in the motorcycle engine industry since 2003; Chongqing Chixiang Motorcycle Manufacturing Co., Ltd. was registered in 2007.","VERIFIED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/about | https://chixiangmotor.com/en/ | https://www.made-in-china.com/showroom/54ec637d2ca466df/ | repo:en/about.html | repo:en/index.html | owner-confirmation:2026-07-29","唯一审核人确认：2003年代表开始从事该行业，2007年代表当前公司注册年份；公开内容不得再写成公司成立于2003年。","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about | https://chixiangmotor.com/ru/ | https://chixiangmotor.com/es/ | https://chixiangmotor.com/pt/ | https://chixiangmotor.com/ar/","Company Management","Site Owner","2026-07-29","2026-07-29","不能用当前年份减去2003自动生成经营年限。 唯一审核人确认（2026-07-29）：我们从2003 年从事这个行业，这个公司2007年注册的"
"address-registered","ADDRESS","注册地址","Registered address","No.1-2, Building 7, No.1000 Gaoteng Avenue, Hangu Town, Jiulongpo District, Chongqing, China（英文首页JSON-LD）","13 She, Jiuli Village, Baishi Yi Town, Jiulongpo District, Chongqing, China（Made-in-China）","No.1-2, Building 7, No.1000 Gaoteng Avenue, Hangu Town, Jiulongpo District, Chongqing, China","","","VERIFIED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/ | https://www.made-in-china.com/showroom/54ec637d2ca466df/ | repo:en/index.html | owner-confirmation:2026-07-29","唯一审核人确认：Gaoteng Avenue地址为当前地址，Jiuli Village地址为搬迁前旧址。","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about","Company Management","Site Owner","2026-07-29","2026-07-29","需用当前营业执照确认。 唯一审核人确认（2026-07-29）：保留当前值。 补充：公司已经搬迁走了，那是原来老地址"
"address-factory","ADDRESS","实际工厂地址","Factory address","Hangu Town, Jiulongpo District, Chongqing, China","13 She, Jiuli Village, Baishi Yi Town, Jiulongpo District, Chongqing, China（Made-in-China工厂地址）","Hangu Town, Jiulongpo District, Chongqing, China","","","VERIFIED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/about | https://www.made-in-china.com/showroom/54ec637d2ca466df/ | repo:en/about.html | owner-confirmation:2026-07-29","唯一审核人确认：工厂已搬迁至Hangu Town，Jiuli Village为旧址。","https://chixiangmotor.com/en/about | https://chixiangmotor.com/en/","Company Management","Site Owner","2026-07-29","2026-07-29","注册地址与工厂地址必须分开审核。 唯一审核人确认（2026-07-29）：保留当前值。 补充：公司已经搬迁走了，那是原来老地址"
"facility-area-square-meters","FACILITY","工厂面积（平方米）","Factory area in square meters","15 000 m²（俄罗斯卧式发动机落地页）","","15,000 m²","","","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/ru/gorizontalnyj-dvigatel | repo:ru/gorizontalnyj-dvigatel.html | owner-confirmation:2026-07-29","仅在一张市场落地页发现该数值，缺少产权、租赁或工厂资料支持。","https://chixiangmotor.com/ru/gorizontalnyj-dvigatel | https://chixiangmotor.com/en/about","Company Management","Site Owner","2026-07-29","2026-07-29","数值批准后应统一单位和空格格式。 唯一审核人确认（2026-07-29）：保留当前值。"
"facility-employee-count","FACILITY","员工数量","Employee count","","唯一审核人确认：100名员工","100 employees","","","VERIFIED","APPROVED_PUBLIC","PUBLIC","repo:docs/geo-entity/GEO_ENTITY_AUDIT.md | owner-confirmation:2026-07-29","唯一审核人于2026-07-29确认员工数量为100名；网站此前没有公开值。","https://chixiangmotor.com/en/about","Company Management","Site Owner","2026-07-29","2026-07-29","不从产能或厂房面积估算员工数。 唯一审核人确认（2026-07-29）：100"
"capacity-monthly-engines","FACILITY","发动机月产能","Monthly engine capacity","8,000+ engines per month","","8,000+ engines per month","","","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about | https://chixiangmotor.com/ru/gorizontalnyj-dvigatel | repo:en/index.html | repo:en/about.html | repo:ru/gorizontalnyj-dvigatel.html | owner-confirmation:2026-07-29","多个自有页面一致，但缺少产能定义、统计期间和工厂批准资料。","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about | https://chixiangmotor.com/ru/gorizontalnyj-dvigatel","Company Management | Factory Management","Site Owner","2026-07-29","2026-07-29","需明确设计产能、实际平均产量或峰值产能。 唯一审核人确认（2026-07-29）：保留当前值。"
