keyword,language,country,intent,phase4_proxy,paid_search,status
repuestos motor cg colombia,Spanish,Colombia,Spares,Medium,NO,PROXY DATA
repuestos motor motocicleta mayorista,Spanish,Colombia,Spares B2B,Medium,NO,PROXY DATA
partes motor cg distribuidor,Spanish,Colombia,Distributor spares,Medium,NO,PROXY DATA
kit repuestos motor cg,Spanish,Colombia,Spares,Medium,NO,PROXY DATA
proveedor repuestos motor moto,Spanish,Colombia,Supplier intent,Medium,NO,PROXY DATA
fabricante repuestos motor cg,Spanish,Colombia,Manufacturer intent,Low,NO,PROXY DATA
compatibilidad motor cg,Spanish,Colombia,Technical research,Medium,NO,PROXY DATA
como identificar codigo motor cg,Spanish,Colombia,Technical research,Medium,NO,PROXY DATA
medidas montaje motor motocicleta,Spanish,Colombia,Technical research,Low,NO,PROXY DATA
salida motor cg compatibilidad,Spanish,Colombia,Technical research,Low,NO,PROXY DATA
sistema electrico motor cg,Spanish,Colombia,Technical research,Low,NO,PROXY DATA
calificacion tecnica motor motocicleta,Spanish,Colombia,B2B qualification,Low,NO,PROXY DATA
distribuidor repuestos motor colombia,Spanish,Colombia,Distributor development,Medium,NO,PROXY DATA
importador repuestos motor motocicleta,Spanish,Colombia,Importer intent,Medium,NO,PROXY DATA
repuestos motor para taller,Spanish,Colombia,Workshop spares,Medium,NO,PROXY DATA
proveedor chino repuestos motor,Spanish,Colombia,Supplier intent,Low,NO,PROXY DATA
catalogo piezas motor cg,Spanish,Colombia,Spares research,Medium,NO,PROXY DATA
codigo y foto motor reemplazo,Spanish,Colombia,Technical qualification,Low,NO,PROXY DATA
motor misma cilindrada compatible,Spanish,Colombia,Compatibility education,Low,NO,PROXY DATA
revisión plataforma motor motocicleta,Spanish,Colombia,Technical qualification,Low,NO,PROXY DATA
