keyword,language,country,market,cluster,intent,serp_intent,business_value,buyer_stage,current_owner_url,current_position,current_impressions,competition_type,recommended_action,proposed_url,cannibalization_risk,first_party_evidence_needed,priority,confidence,source,notes
"motor cg","es","LATAM","Spanish LatAm","CG","commercial","commercial-supplier","high","Q3-Q5","/es/motor-cg","8.1","43","marketplace+manufacturer","OPTIMIZE_EXISTING","","low","engine + factory photos","P1","high","GSC_supplied","proven page-1 asset; protect"
"motores cg","es","LATAM","Spanish LatAm","CG","commercial","commercial","high","Q3-Q5","/es/motor-cg","8.0","37","marketplace","OPTIMIZE_EXISTING","","low","","P1","high","GSC_supplied",""
"que es un motor cg","es","LATAM","Spanish LatAm","CG","informational","informational-mixed","medium","Q2-Q3","/es/motor-cg","","","video+forum+competitor-blog","CREATE_SUPPORT_CONTENT","/es/guia/que-es-un-motor-cg/","medium","cutaway + engineer explainer","P1","medium","SERP_observed_non_geo","historically ~Top10; funnel to owner; do NOT target manufacturer terms"
"motor cg vs motor cb","es","LATAM","Spanish LatAm","CB-CG","informational","informational","medium","Q2-Q3","/es/motor-cg","","","forum+video+tiktok","CREATE_SUPPORT_CONTENT","/es/guia/que-es-un-motor-cg/","medium","comparison photos/specs","P2","medium","SERP_observed_non_geo","SAME INTENT CLUSTER / MERGED INTO ES-G1 (built in Wave 1)"
"motor cg 150 / 200 / 250","es","LATAM","Spanish LatAm","CG","commercial","commercial","high","Q3-Q5","/es/motor-cg","","","marketplace","OPTIMIZE_EXISTING","","low","model photos","P2","medium","SERP_observed_non_geo","displacement variants stay on owner page; no per-cc page"
"motor cg fabricante / proveedor / mayorista","es","LATAM","Spanish LatAm","CG","commercial-B2B","commercial","high","Q4-Q5","/es/motor-cg","","","marketplace+china-directory","OPTIMIZE_EXISTING","","low","factory + OEM proof","P1","medium","SERP_observed_non_geo","head supplier intent"
"motor cg para ensambladora","es","LATAM","Spanish LatAm","CG","commercial-B2B","low-vol-high-value","high","Q4","/es/motor-cg","","","china-directory","OPTIMIZE_EXISTING","","low","assembly application photo","P2","low","inference","assembler angle on owner page"
"repuestos motor cg / cb","es","LATAM","Spanish LatAm","Parts","commercial","mixed-marketplace","medium","Q3-Q4","/es/repuestos-motor","","","marketplace+national-distributor","OPTIMIZE_EXISTING","","low","parts close-ups","P2","medium","SERP_observed_non_geo","sharper supplier positioning, not new page"
"motor cb","es","LATAM","Spanish LatAm","CB","commercial","commercial","medium","Q3-Q5","/es/motor-cb","","","marketplace","OPTIMIZE_EXISTING","","low","","P2","medium","SERP_observed_non_geo",""
"motor cb 150 / 200 / 250","es","LATAM","Spanish LatAm","CB","commercial","commercial","medium","Q3-Q5","/es/motor-cb","","","marketplace","OPTIMIZE_EXISTING","","low","","P2","medium","SERP_observed_non_geo",""
