"Country","Product","Platform","Engine demand","Channel","Search","Profit","Supply","Total","Tier","Demand type","Evidence IDs","Rationale","Market confidence","Engine confidence","Compatibility confidence","Application"
"Russia","Lower-mounted horizontal 140","18","6","11","10","0","0","45","B","Engine","P4-RU-01,P4-RU-02,P4-RU-03","Observed retailers list YX140/1P56FMJ complete engines for pit-bike use; no national demand inference.","Medium","Low","Low","pit-bike / horizontal engine"
"Russia","Honda-style horizontal 140","16","5","10","9","0","0","40","C","Engine","P4-RU-01,P4-RU-02,P4-RU-03","Russian retail terminology supports YX140/1P56FMJ direction only.","Medium","Low","Low","pit-bike"
"Russia","Honda-style horizontal 125","13","5","9","8","0","0","35","C","Engine","P4-RU-04,P4-RU-05","Alpha/Delta 125 complete-engine listings and code 152FMI observed.","Medium","Low","Low","Alpha / Delta"
"Russia","Honda-style horizontal 110","12","4","8","7","0","0","31","C","Engine","P4-RU-05,P4-RU-06","110/139FMB platform and parts evidence observed; replacement fit unverified.","Medium","Low","Low","Alpha / Delta"
"Russia","Automatic-clutch horizontal","4","0","3","3","0","0","10","D","Engine","P4-RU-07","A 125 semi-auto/reverse engine listing is not general demand or compatibility proof.","Low","Low","Low","special configuration"
"Russia","CG125 air-cooled","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","No Russia-specific product evidence.","Low","Low","Low","NOT TESTED"
"Russia","CG150 air-cooled","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","No Russia-specific product evidence.","Low","Low","Low","NOT TESTED"
"Russia","CG200 air-cooled","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","No Russia-specific product evidence.","Low","Low","Low","NOT TESTED"
"Russia","CB / pit-bike 140-150 direction","15","5","10","9","0","0","39","C","Engine","P4-RU-01,P4-RU-02,P4-RU-03,P4-RU-08","Pit-bike model and engine-code ecosystem observed; fit still model-specific.","Medium","Low","Low","pit-bike"
"Russia","Engine parts / spares pack","17","0","12","8","0","0","37","C","Aftermarket / parts","P4-RU-01,P4-RU-06,P4-RU-08","Retail parts/catalogue evidence is separate aftermarket signal.","High","Not applicable","Not applicable","parts / service"
