"entity_id","entity_type","preferred_name","aliases","languages","parent_entity","applications","candidate_markets","evidence_status","evidence_visibility","evidence_sources","last_verified","owner_url","supporting_urls","mention_urls","current_index_status","commercial_value","entity_readiness","content_gaps","conflicts","recommended_action","decision_reason"
"org-chongqing-chixiang","ORGANIZATION","Chongqing Chixiang Motorcycle Manufacturing Co., Ltd.","重庆驰翔摩托车制造有限公司","en | es | pt | ru | ar","","","","VERIFIED","PUBLIC","https://chixiangmotor.com/en/about | https://chixiangmotor.com/en/ | owner-confirmation:2026-07-30","2026-07-30","https://chixiangmotor.com/en/about","https://chixiangmotor.com/es/about | https://chixiangmotor.com/pt/about | https://chixiangmotor.com/ru/about | https://chixiangmotor.com/ar/about","https://chixiangmotor.com/en/","INDEXABLE_OWNER","HIGH","READY","Keep the legal name, 2003 industry-experience timeline, 2007 registration year, current address, and approved capability statements synchronized.","","ENHANCE_EXISTING","The site owner approved the company timeline and current Hangu Town location; an uncontrolled third-party profile is excluded as evidence."
"brand-chixiang-motor","BRAND","Chixiang Motor","CHIXIANG MOTOR | CX MOTOR | CHIXIANGMOTOR","en | es | pt | ru | ar","org-chongqing-chixiang","","","VERIFIED","PUBLIC","https://chixiangmotor.com/en/ | repo:images/logo.webp","2026-07-29","https://chixiangmotor.com/en/","https://chixiangmotor.com/ru/ | https://chixiangmotor.com/es/ | https://chixiangmotor.com/pt/ | https://chixiangmotor.com/ar/","https://chixiangmotor.com/en/about","INDEXABLE_OWNER","HIGH","READY","Document the approved brand spelling, legal-name relationship, logo asset, and whether CX MOTOR is an approved secondary mark.","Brand is consistently visible, but naming variants are not governed by a published brand fact sheet.","ENHANCE_EXISTING","Keep the English home page as brand owner and reconcile Organization markup to one authoritative record."
"family-motorcycle-engines","PRODUCT_FAMILY","Motorcycle engines","moto engines | motorcycle and cargo-tricycle engines","en | es | pt | ru | ar","brand-chixiang-motor","app-work-motorcycle | app-cargo-tricycle | app-offroad | app-atv-utv","market-russia | market-central-asia | market-peru | market-colombia","VERIFIED","PUBLIC","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/products","2026-07-29","https://chixiangmotor.com/en/products","https://chixiangmotor.com/en/ | https://chixiangmotor.com/es/products | https://chixiangmotor.com/pt/products | https://chixiangmotor.com/ru/products | https://chixiangmotor.com/ar/products","https://chixiangmotor.com/en/about","INDEXABLE_OWNER","HIGH","READY","Add a visible hierarchy that separates engine families, complete vehicles, and parts.","The catalog mixes engines, complete motorcycles, tricycles, and parts under one product heading.","ENHANCE_EXISTING","The indexed catalog is the broad product owner; hierarchy clarity is more valuable than adding another generic page."
"family-cg-engine","PRODUCT_FAMILY","CG engine family","CG motorcycle engine | CG series","en | es | pt | ru | ar","family-motorcycle-engines","app-work-motorcycle | app-cargo-tricycle | app-replacement-aftermarket","market-peru | market-central-asia | market-uzbekistan | market-colombia","VERIFIED","PUBLIC","https://chixiangmotor.com/en/cg-engine | repo:en/cg-engine.html","2026-07-29","https://chixiangmotor.com/en/cg-engine","https://chixiangmotor.com/es/motor-cg | https://chixiangmotor.com/pt/motor-cg | https://chixiangmotor.com/ru/dvigatel-cg | https://chixiangmotor.com/ar/cg-engine","https://chixiangmotor.com/es/peru/ | https://chixiangmotor.com/ru/central-asia/ | https://chixiangmotor.com/es/colombia/","INDEXABLE_OWNER","HIGH","READY","Explain the air-cooled, balance-shaft, and water-cooled subfamilies visibly instead of hiding two tables by default.","The same URL owns three technical subfamilies while only the air-cooled family is prominent in the visible flow.","ENHANCE_EXISTING","Strengthen the existing family owner before considering any model-specific URL."
"family-cg-air","PRODUCT_FAMILY","CG air-cooled engine family","CG Air | CG air cooled","en | es | pt | ru | ar","family-cg-engine","app-work-motorcycle | app-cargo-tricycle | app-replacement-aftermarket","market-peru | market-central-asia | market-colombia","VERIFIED","PUBLIC","https://chixiangmotor.com/en/cg-engine | repo:js/latam-cg-products.js","2026-07-29","https://chixiangmotor.com/en/cg-engine","https://chixiangmotor.com/es/peru/ | https://chixiangmotor.com/ru/central-asia/ | https://chixiangmotor.com/es/colombia/","https://chixiangmotor.com/en/products","INDEXABLE_SECTION","HIGH","READY","Add clear selection criteria by vehicle, load, transmission, and engine code.","Market suitability is conditional; no universal platform compatibility is established.","ENHANCE_EXISTING","Existing evidence and content support a strong section, not a new thin family URL."
"family-cg-balance","PRODUCT_FAMILY","CG balance-shaft engine family","CG balancer | CG balance shaft","en | es | pt | ru | ar","family-cg-engine","app-work-motorcycle","","SUPPORTED","PUBLIC","https://chixiangmotor.com/en/cg-engine | https://chixiangmotor.com/en/products","2026-07-29","https://chixiangmotor.com/en/cg-engine","https://chixiangmotor.com/es/motor-cg | https://chixiangmotor.com/pt/motor-cg | https://chixiangmotor.com/ru/dvigatel-cg | https://chixiangmotor.com/ar/cg-engine","https://chixiangmotor.com/en/products","INDEXABLE_SECTION","MEDIUM","NEEDS_EVIDENCE","Provide differentiated photos, test evidence, exact model availability, and buyer-use cases.","Catalog longevity and low-vibration claims are first-party claims without linked test evidence.","DO_NOT_BUILD_YET","Keep as a family-page section until commercial demand and differentiated evidence justify a separate entity page."
"family-cg-water","PRODUCT_FAMILY","CG water-cooled engine family","CG Water | conventional water-cooled CG","en | es | pt | ru | ar","family-cg-engine","app-cargo-tricycle | app-work-motorcycle","market-peru | market-central-asia | market-uzbekistan","SUPPORTED","PUBLIC | INTERNAL_REFERENCE","https://chixiangmotor.com/en/cg-engine | https://chixiangmotor.com/es/peru/ | https://chixiangmotor.com/ru/central-asia/ | Phase4:P4-UZ-01","2026-07-29","https://chixiangmotor.com/en/cg-engine","https://chixiangmotor.com/es/peru/ | https://chixiangmotor.com/ru/central-asia/","https://chixiangmotor.com/en/products","INDEXABLE_SECTION","HIGH","NEEDS_CONTENT","Clarify standard water-cooled versus heavy-duty HW families and verify reverse-gear options per exact model.","Some pages imply built-in reverse broadly while market pages correctly require model confirmation.","ENHANCE_EXISTING","The family is commercially relevant, but the existing owner needs reconciled, application-specific content before a new URL is considered."
"family-cb-engine","PRODUCT_FAMILY","CB engine family","CB motorcycle engine | CB off-road engine","en | es | pt | ru | ar","family-motorcycle-engines","app-work-motorcycle | app-offroad","market-russia","VERIFIED","PUBLIC","https://chixiangmotor.com/en/cb-engine | repo:en/cb-engine.html","2026-07-29","https://chixiangmotor.com/en/cb-engine","https://chixiangmotor.com/es/motor-cb | https://chixiangmotor.com/pt/motor-cb | https://chixiangmotor.com/ru/dvigatel-cb | https://chixiangmotor.com/ar/cb-engine","https://chixiangmotor.com/ru/russia/","INDEXABLE_OWNER","HIGH","READY","Add clearer distinction between street, utility, trail, and off-road configurations.","The family page uses broad street and off-road positioning without model-specific fit evidence.","ENHANCE_EXISTING","The indexed family page is a sufficient owner for current CB models."
"family-horizontal-engine","PRODUCT_FAMILY","Horizontal engine family","horizontal motorcycle engine | underbone engine","en | es | pt | ru | ar","family-motorcycle-engines","app-work-motorcycle | app-offroad | app-atv-utv","market-russia","CONFLICTING","PUBLIC | INTERNAL_REFERENCE","https://chixiangmotor.com/en/horizontal-engine | https://chixiangmotor.com/ru/gorizontalnyj-dvigatel | repo:en/horizontal-engine.html","2026-07-29","https://chixiangmotor.com/en/horizontal-engine","https://chixiangmotor.com/es/motor-horizontal | https://chixiangmotor.com/pt/motor-horizontal | https://chixiangmotor.com/ru/gorizontalnyj-dvigatel | https://chixiangmotor.com/ar/horizontal-engine","https://chixiangmotor.com/ru/russia/","INDEXABLE_OWNER","HIGH","CONFLICTING","Reconcile model codes, nominal cc, actual displacement, starting position, clutch, cooling, and range labels against an approved factory specification master.","English owner says 50-125cc; Russian landing markets 110-150cc. The English table repeats CX152FMH-5B for 110 and 130 and labels 125 with 107 ml.","NEEDS_EVIDENCE","Do not add model pages or Product Schema until the specification master is reconciled."
"family-horizontal-air","PRODUCT_FAMILY","Horizontal air-cooled engine family","horizontal air cooled | lower-mounted horizontal","en | es | pt | ru | ar","family-horizontal-engine","app-work-motorcycle | app-offroad | app-atv-utv","market-russia","SUPPORTED","PUBLIC | INTERNAL_REFERENCE","https://chixiangmotor.com/en/horizontal-engine | https://chixiangmotor.com/ru/gorizontalnyj-dvigatel | Phase4:P4-RU-01 | Phase4:P4-RU-08","2026-07-29","https://chixiangmotor.com/en/horizontal-engine","https://chixiangmotor.com/ru/gorizontalnyj-dvigatel | https://chixiangmotor.com/ru/russia/","https://chixiangmotor.com/en/products","INDEXABLE_SECTION","HIGH","CONFLICTING","Resolve the parent family specification conflict and define subtypes by starter, clutch, reverse, and mounting interfaces.","Named platform examples are orientation signals, not verified compatibility.","ENHANCE_EXISTING","The family has market evidence, but content must qualify fit and use approved specifications."
