Evidence ID,Country,Product scope,Evidence type,Claim,URL,Publisher,Access date,Reliability,Limitations,Score use
P4-PE-01,Peru,Product demand/platform,Government vehicle/assembly record,Peru government record lists Lifan and Zongshen 150-class passenger trimoto models and cargo-trimoto assembly activity,https://cdn.www.gob.pe/uploads/document/file/2139456/R.D.%2000493-2021-PRODUCE/DOPIF.pdf,Peru PRODUCE,2026-07-16,High,Historic model/activity record does not quantify engine demand,Product demand/platform
P4-PE-02,Peru,Product demand/competitor,Official brand/product page,Zonsen Peru lists a 149 cc passenger trimoto and wholesale motorcycle/parts contact routes,https://zonsenperu.com.pe/moto/zs150-sa-xlh/,Zonsen Peru,2026-07-16,Medium,Brand claim and vehicle offer do not prove complete-engine purchasing,Product demand/competitor
P4-PE-03,Peru,Product demand/keywords,Dealer category,Motocorp lists Zongshen 150 cargo mototaxi products,https://motocorp.pe/motos/por-uso/mototaxi-carga.html?brand%5B0%5D=Honda&brand%5B1%5D=Mavila&brand%5B2%5D=Zongshen&stock_delivery=pickup,Motocorp,2026-07-16,Medium,Dealer listings are not market-share or replacement-demand data,Product demand/keywords
P4-PE-04,Peru,Parts/competitor/keywords,Wholesaler catalogue,Motorcykel Peru describes itself as a motorcycle-parts importer/wholesaler and lists CG125/150/200/250 and cargo-related engine parts in wholesale quantities,https://motorcykel.com.pe/,Motorcykel Peru,2026-07-16,Medium,Parts evidence is not complete-engine demand,Parts/competitor/keywords
P4-PE-05,Peru,Complete-engine/product demand,Official marketplace storefront,Official Lifan marketplace listing offers a CG200 long-shaft cargo engine,https://www.mercadolibre.com.pe/lifan-cg200-carguero-eje-largo-motor-para-motomotocicleta/up/MPEU2929138736,Lifan official store on Mercado Libre,2026-07-16,Medium,Marketplace listing is retail-visible supply; it is not wholesale volume or Chixiang compatibility proof,Complete-engine/product demand
P4-PE-06,Peru,Complete-engine/product demand,Marketplace retailer,El Pibe lists a Lifan CG200 engine with accessories,https://elpibe.com.pe/producto/motor-cg200-con-accesorios/,El Pibe,2026-07-16,Medium,Single retailer listing does not prove national demand,Complete-engine/product demand
P4-PE-07,Peru,Complete-engine/product demand,Marketplace retailer,Lucero lists a complete 149 cc air-cooled CG150 with long dual-function output shaft for cargo trimoto,https://lucero.com.pe/producto/cg150-completo/,Lucero,2026-07-16,Medium,One listed configuration cannot establish fit for every trimoto,Complete-engine/product demand
P4-PE-08,Peru,Keyword/product demand proxy,Marketplace search results,Mercado Libre Peru search results visibly include CG200 long-shaft cargo and CG250 air-cooled cargo engines,https://listado.mercadolibre.com.pe/motor-para-moto-carguera,Mercado Libre Peru,2026-07-16,Low,Search result composition and listings do not measure demand,Keyword/product demand proxy
P4-PE-09,Peru,Competitor/channel,Official service page,Grupo Cayman states it represents Zonsen in Peru and has a national service and parts network,https://zonsenperu.com.pe/garantia-post-venta/,Zonsen Peru / Grupo Cayman,2026-07-16,Medium,Self-reported network data; no compatible engine demand inferred,Competitor/channel
P4-UZ-01,Uzbekistan,Product demand/competitor,Marketplace product page,Smart Market Uzbekistan lists a Loncin LX250ZH-11 cargo tricycle with a 250 cc water-cooled engine and cardan drive,https://smart-market.uz/ru/product/986781,Smart Market Uzbekistan,2026-07-16,Medium,Marketplace vehicle listing does not prove spare-engine demand or Chixiang fit,Product demand/competitor
P4-UZ-02,Uzbekistan,Product demand proxy,Marketplace seller pages,Multiple Smart Market sellers show Loncin LX250ZH-11 cargo tricycle offers,https://smart-market.uz/ru/seller/311828703,Smart Market Uzbekistan,2026-07-16,Low,Multiple listings are a proxy signal not sales volume,Product demand proxy
P4-UZ-03,Uzbekistan,Complete-engine/channel,Official distributor catalogue,Bikeland markets Lifan engines in Uzbekistan,https://bikeland.uz/engines,Bikeland,2026-07-16,Medium,Does not establish a specific 200/250 cargo-engine or buyer demand,Complete-engine/channel
P4-UZ-04,Uzbekistan,Keyword/parts proxy,Marketplace taxonomy,Yandex Market Uzbekistan exposes Loncin motorcycle-parts taxonomy,https://market.yandex.uz/catalog--prochie-zapchasti-i-raskhodniki-dlia-mototekhniki/71336885/list,Yandex Market Uzbekistan,2026-07-16,Low,Parts taxonomy is not complete-engine demand or Wordstat data,Keyword/parts proxy
P4-UZ-05,Uzbekistan,Keyword localisation,Marketplace bilingual product pages,Smart Market publishes both Russian and Uzbek names for the Loncin LX250ZH-11 cargo tricycle,https://smart-market.uz/uz/product/1010912,Smart Market Uzbekistan,2026-07-16,Medium,Supports terminology only; does not quantify search demand,Keyword localisation
P4-UZ-06,Uzbekistan,Competitor/keyword proxy,Marketplace search results,Avtoelon Uzbekistan search results include Zongshen and cargo-motorcycle terminology,https://avtoelon.uz/mototehnika/zongshen/gorod-yangiyul/,Avtoelon Uzbekistan,2026-07-16,Low,Listings may include used/private supply and are not B2B demand,Competitor/keyword proxy
P4-UZ-07,Uzbekistan,Parts/competitor proxy,Marketplace product page,Yandex Market Uzbekistan offers a Zongshen CB/CG250-related carburettor,https://market.yandex.uz/card/karbyurator-pz30-250-sm3-cbcg-250-zs-172fmm-zongshen/5832396119,Yandex Market Uzbekistan,2026-07-16,Low,Parts listing cannot be treated as complete-engine demand,Parts/competitor proxy
P4-EC-01,Ecuador,CG150 air-cooled,Vehicle / official brand page,Zongshen Ecuador GN150 vehicle lists 150 cc air-cooled engine,https://zongshenecuador.com/shop/gn150-gn150-1120?category=104,Zongshen Ecuador,2026-07-16,Medium,Vehicle platform only; not engine purchase demand,Platform fit
P4-EC-02,Ecuador,CG150/CG200 parts,Parts retailer,Ecuador retailer lists CG150/200 output shaft,https://mototienda.com.ec/productos/eje-motriz-cg150-200-147mm,Mototienda Ecuador,2026-07-16,Medium,Parts only,Parts/channel
P4-EC-03,Ecuador,CG150/CG200 parts,Distributor,Distributor lists CG150 and CG200 and states national critical-parts distribution,https://comercialamerica.com.ec/productos/,Comercial América,2026-07-16,Medium,"Parts/distribution, not engine demand",Channel
P4-EC-04,Ecuador,CG125/CG150/CG200 parts,Parts retailer,Parts listing names CG125/150/200 and Chinese equivalents,https://www.motoprestamoslosrios.com/product-page/eje-primario-de-transmisi%C3%B3n-eje-de-caja,Moto Préstamos Los Ríos,2026-07-16,Medium,Parts only; no compatibility inference,Parts/channel
P4-EC-05,Ecuador,Tricimoto,Government vehicle record,Government retention record contains Lifan/Tundra and tricimoto records,https://www.atm.gob.ec/dcom/INFORMACION/CHATARRIZACION/Listado_de_1906_vehiculos_publicar.pdf,ATM Ecuador,2026-07-16,Medium,"Historic vehicle record, not current engine demand",Platform fit
P4-TZ-01,Tanzania,Motorcycle/tricycle/parts,Local company page,"Sinoray Tanzania lists motorcycle, motor tricycle and parts/accessories categories with dealer network claim",https://www.sinoraymotor.com/,Sinoray Tanzania,2026-07-16,Medium,Vehicle/channel signal; not engine demand,Channel/search proxy
