page_id,url,source_file,language,page_type,entity_owner,change_class,source_fact_ids,current_claims,approved_replacement,translation_status,tracking_risk,form_risk,visual_risk,tests,preview_desktop,preview_mobile,decision,notes
ar-cb,https://chixiangmotor.com/ar/cb-engine,ar/cb-engine.html,ar,product_family,CB engine,FACT_FIX,model-cb150|model-cb200-c|model-cb250,CB specifications plus shared company footer,Keep approved CB models and align shared company facts,NEEDS_REVIEW,LOW,NONE,MEDIUM,geo alignment|visual,outputs/phase-6-1b-preview/ar/ar__cb-engine--desktop.png,outputs/phase-6-1b-preview/ar/ar__cb-engine--mobile.png,CHANGED,Do not add unapproved model claims
ar-cg,https://chixiangmotor.com/ar/cg-engine,ar/cg-engine.html,ar,product_family,CG engine,OWNER_ENHANCEMENT,model-cg125|model-cg150|model-cg175|model-cg200|model-cg250|intake-cg-balance-shaft|intake-tsunami-water|intake-automatic-clutch-water,CG model content lacks approved family distinctions,Add bounded CG gear and family positioning without new numeric specifications,NEEDS_REVIEW,LOW,NONE,HIGH,geo alignment|visual,outputs/phase-6-1b-preview/ar/ar__cg-engine--desktop.png,outputs/phase-6-1b-preview/ar/ar__cg-engine--mobile.png,CHANGED,Keep model values tied to approved records
ar-contact,https://chixiangmotor.com/ar/contact,ar/contact.html,ar,contact,Chixiang Motor,FACT_FIX,contact-sales-email|contact-business-phone|identity-brand-name|profile-approved-short,Contact and footer identity need fact alignment,Keep inquiry form behavior and align only visible identity and contact copy,NEEDS_REVIEW,HIGH,HIGH,MEDIUM,geo alignment|form regression|visual,outputs/phase-6-1b-preview/ar/ar__contact--desktop.png,outputs/phase-6-1b-preview/ar/ar__contact--mobile.png,CHANGED,Protected form and tracking logic
ar-parts,https://chixiangmotor.com/ar/engine-parts,ar/engine-parts.html,ar,product_family,Engine parts support,OWNER_ENHANCEMENT,capability-engine-parts-support|capability-oem-odm|capability-mixed-model-orders,Parts support is present but entity relation is weak,Clarify B2B engine parts support without compatibility guarantees,NEEDS_REVIEW,LOW,NONE,MEDIUM,geo alignment|visual,outputs/phase-6-1b-preview/ar/ar__engine-parts--desktop.png,outputs/phase-6-1b-preview/ar/ar__engine-parts--mobile.png,CHANGED,No universal fit claim
ar-horizontal,https://chixiangmotor.com/ar/horizontal-engine,ar/horizontal-engine.html,ar,product_family,Horizontal engine,FACT_FIX,model-153fmi|model-154fmi|model-1p56fmj,Horizontal range includes unresolved 152FMH mapping,Publish only approved family facts and retain 152FMH as pending,NEEDS_REVIEW,LOW,NONE,HIGH,geo alignment|visual,outputs/phase-6-1b-preview/ar/ar__horizontal-engine--desktop.png,outputs/phase-6-1b-preview/ar/ar__horizontal-engine--mobile.png,CHANGED,Do not infer 152FMH displacement
ar-home,https://chixiangmotor.com/ar/,ar/index.html,ar,home,Chixiang Motor,OWNER_ENHANCEMENT,profile-approved-short|history-founded-year|identity-brand-name|asset-official-logo|certification-iso-9001|certification-ccc,Homepage identity and trust wording are inconsistent,Use approved company timeline brand logo and bounded certification wording,NEEDS_REVIEW,LOW,NONE,HIGH,geo alignment|visual,outputs/phase-6-1b-preview/ar/ar--desktop.png,outputs/phase-6-1b-preview/ar/ar--mobile.png,CHANGED,No design redesign
en-about,https://chixiangmotor.com/en/about,en/about.html,en,about,Chixiang Motor,OWNER_ENHANCEMENT,profile-approved-long|history-founded-year|address-registered|address-factory|facility-area-square-meters|capacity-monthly-engines|quality-first-pass-yield|export-country-count|certification-iso-9001|certification-ccc|asset-official-logo|product-current-supply-scope,Company identity timeline address factory facts and certification boundaries were incomplete or inconsistent,Publish the approved legal relationship timeline complete current address factory facts bounded certification wording and current engine-only supply scope,SOURCE,LOW,NONE,MEDIUM,english owner contract|JSON-LD parse|analytics preservation|visual 390 768 1024 1440,outputs/phase-6-1b-preview/en/en__about--desktop.png,outputs/phase-6-1b-preview/en/en__about--mobile.png,CHANGED,Primary company owner page; Organization and AboutPage schema are explicitly authorized by the later 2026-07-30 English owner-page design
en-cooling-guide,https://chixiangmotor.com/en/air-cooled-vs-water-cooled-motorcycle-engine,en/air-cooled-vs-water-cooled-motorcycle-engine.html,en,guide,Cooling applications,OWNER_ENHANCEMENT,intake-tsunami-water|intake-hanwei-hw-water|model-cg200|model-cg200sb,Guide needs bounded product relationships,Align air-cooled water-cooled Tsunami and HW family descriptions without fit guarantees,SOURCE,LOW,NONE,MEDIUM,geo alignment|visual,outputs/phase-6-1b-preview/en/en__air-cooled-vs-water-cooled-motorcycle-engine--desktop.png,outputs/phase-6-1b-preview/en/en__air-cooled-vs-water-cooled-motorcycle-engine--mobile.png,CHANGED,Do not add unsupported performance numbers
en-cb,https://chixiangmotor.com/en/cb-engine,en/cb-engine.html,en,product_family,CB engine,VERIFY_ONLY,model-cb150|model-cb200-c|model-cb250,CB specifications plus shared company footer,Keep approved CB models and align shared company facts,SOURCE,LOW,NONE,MEDIUM,geo alignment|visual,outputs/phase-6-1b-preview/en/en__cb-engine--desktop.png,outputs/phase-6-1b-preview/en/en__cb-engine--mobile.png,VERIFIED_NO_CHANGE,No new CB models
en-cg,https://chixiangmotor.com/en/cg-engine,en/cg-engine.html,en,product_family,CG engine,OWNER_ENHANCEMENT,model-cg125|model-cg150|model-cg175|model-cg200|model-cg250|intake-cg-balance-shaft|intake-tsunami-water|intake-automatic-clutch-water,CG page mixes model and family claims,Add approved gear configuration balance-shaft and water-cooled family distinctions,SOURCE,LOW,NONE,HIGH,geo alignment|visual,outputs/phase-6-1b-preview/en/en__cg-engine--desktop.png,outputs/phase-6-1b-preview/en/en__cg-engine--mobile.png,CHANGED,Remove quantified lifetime claims
