Evidence ID,Country,Product scope,Evidence type,Claim,URL,Publisher,Access date,Reliability,Limitations,Score use
P4-CO-01,Colombia,AKT parts,Official parts,AKT provides an official spare-parts route,https://aktmotos.com/repuestos/,AKT Motos,2026-07-16,High,Parts only,Channel/aftermarket
P4-CO-02,Colombia,AKT parts,Official catalogue,AKT publishes parts catalogues,https://aktmotos.com/catalogo-de-partes/,AKT Motos,2026-07-16,High,Parts only,Channel/aftermarket
P4-CO-03,Colombia,TVS parts,Official spare enquiry,TVS Colombia provides spare enquiry,https://colombia.tvsmotor.com/es/customer-enquiry/spare,TVS Colombia,2026-07-16,High,Indian platform excluded,Competitor/channel
P4-CO-04,Colombia,Hero parts,Official parts,Hero Colombia publishes parts/accessories support,https://heromotos.com.co/repuestos-aceites-accesorios/,Hero Colombia,2026-07-16,High,Indian platform excluded,Competitor/channel
P4-CO-05,Colombia,Motorcycle parts,Distributor,C.E.B describes a motorcycle-parts distribution business,https://ceb.com.co/nosotros/,C.E.B,2026-07-16,Medium,No complete-engine proof,Channel/aftermarket
P4-CO-06,Colombia,Motorcycle parts,Distributor,1000Partes presents multibrand OEM parts,https://www.1000partes.com/,1000Partes,2026-07-16,Medium,No complete-engine proof,Channel/aftermarket
P4-CO-07,Colombia,Cylinder parts,Importer/distributor,OrgPartes lists cylinder categories,https://orgpartes.com/product-category/cilindro/,OrgPartes,2026-07-16,Medium,Parts only,Channel/aftermarket
P4-CO-08,Colombia,Complete engines,Marketplace category,MercadoLibre exposes a complete-motor category,https://listado.mercadolibre.com.co/motor-completo-para-moto,MercadoLibre Colombia,2026-07-16,Low,Single marketplace signal; not national demand,Search proxy only
P4-CO-09,Colombia,CG125/150 parts,Marketplace listing,CG125/150 162FMJ cylinder kit observed,https://www.mercadolibre.com.co/kit-cilindro-para-honda-cg125-y-cg150-162fmj/up/MCOU4121228466,MercadoLibre Colombia,2026-07-16,Low,Parts listing only,Platform/search proxy
P4-CO-10,Colombia,AKT125/CG125 parts,Retail listing,Cassarella lists AKT125/CG125 cylinder kit,https://www.cassarella.com.co/es/kit-cilindro-completo-con-piston-cassarella-akt125sl-125nkd-125sport-125tt-cg125-bulon-15mm-piston-565mm-negro-490c-de-la-seccion-cassarella-de-motor-CP84539,Cassarella,2026-07-16,Medium,Parts only,Platform/search proxy
P4-CO-11,Colombia,CG150/CG200 parts,Price list,MotoFull price list includes CG150/CG200 starter terminology,https://www.motofull.com/formatos/Lista-De-Precio-Moto-Full.pdf,MotoFull,2026-07-16,Medium,Parts only,Platform/search proxy
P4-CO-12,Colombia,Tuk-Tuk,Official manual,AKT publishes a Tuk-Tuk owner/warranty manual,https://www.aktmotos.com/sites/default/files/2025-09/Manual%20de%20usuario-garantia%20Tuk-Tuk.pdf,AKT Motos,2026-07-16,High,Vehicle context only,Vehicle/application
P4-CO-13,Colombia,NKD125,Official parts catalogue,AKT publishes NKD125 parts catalogue,https://www.aktmotos.com/sites/default/files/parts_catalog/pdf/NKD125%20-2024.pdf,AKT Motos,2026-07-16,High,Parts/platform only,Platform/aftermarket
P4-CO-14,Colombia,Motorcycle market,Industry study,Industry study documents Colombian motorcycle ecosystem,https://www.incolmotos-yamaha.com.co/distribuidor/wp-content/uploads/2024/09/Estudio-Las-Motocicletas-en-Colombia-Aliadas-del-desarrollo-del-pais-V17-Final-Design-Lowered-case.pdf_compressed.pdf,Incolmotos Yamaha,2026-07-16,High,Market context does not prove engine demand,Market context
P4-CO-15,Colombia,CG150 parts,Marketplace category,CG150 complete-head category observed,https://listado.mercadolibre.com.co/culata-completa-cg-150,MercadoLibre Colombia,2026-07-16,Low,Parts category only,Platform/search proxy
