"Country","Record type","Entity","Complete-engine sales","Evidence IDs"
"Peru","Competitor brand","Zonsen / Zongshen","NOT TESTED","P4-PE-02,P4-PE-09"
"Peru","Competitor brand","Lifan","Yes - retail listing observed","P4-PE-05,P4-PE-06"
"Peru","Importer / distributor","Motorcykel Peru","Parts only","P4-PE-04"
"Peru","Competitor brand","Loncin","NOT TESTED","No verified country-specific evidence"
"Peru","Competitor brand","Shineray","NOT TESTED","No verified country-specific evidence"
"Peru","Competitor brand","Wanhu/Wanxin","NOT TESTED","P4-PE-01"
"Uzbekistan","Competitor brand","Loncin","NOT TESTED","P4-UZ-01,P4-UZ-02"
"Uzbekistan","Marketplace/channel","Yandex Market Uzbekistan","Parts only","P4-UZ-04,P4-UZ-07"
"Uzbekistan","Competitor brand","Lifan","NOT TESTED","P4-UZ-03"
"Uzbekistan","Competitor brand","Zongshen","Parts only","P4-UZ-04,P4-UZ-07"
"Uzbekistan","Competitor brand","Shineray","NOT TESTED","No verified country-specific evidence"
"Uzbekistan","Competitor brand","Wanhu/Wanxin","NOT TESTED","No verified country-specific evidence"
