keyword,language,country,product_intent,phase4_proxy,search_volume,cpc,competition,status
motor cg 200 mayorista,Spanish,Peru,CG200 complete engine,High,,,,PROXY DATA
motor cg 200 para moto de trabajo,Spanish,Peru,CG200 complete engine,High,,,,PROXY DATA
motor cg 200 precio mayorista,Spanish,Peru,CG200 complete engine,High,,,,PROXY DATA
proveedor motor cg 200,Spanish,Peru,CG200 complete engine,High,,,,PROXY DATA
motor cg 150 mayorista,Spanish,Peru,CG150 complete engine,High,,,,PROXY DATA
motor cg 150 para moto de trabajo,Spanish,Peru,CG150 complete engine,Medium,,,,PROXY DATA
proveedor motor cg 150 peru,Spanish,Peru,CG150 complete engine,High,,,,PROXY DATA
motor cg para distribuidor,Spanish,Peru,Complete engine B2B,High,,,,PROXY DATA
motor de moto al por mayor peru,Spanish,Peru,Complete engine B2B,Medium,,,,PROXY DATA
importador motor de motocicleta peru,Spanish,Peru,Importer intent,Medium,,,,PROXY DATA
fabrica motor cg china,Spanish,Peru,Manufacturer intent,Medium,,,,PROXY DATA
motor cg para ensamblador,Spanish,Peru,Assembler intent,Medium,,,,PROXY DATA
motor para moto carga peru,Spanish,Peru,Application qualification,Medium,,,,PROXY DATA
motor para trimoto carga,Spanish,Peru,Application qualification,Medium,,,,PROXY DATA
repuesto motor cg 200 mayorista,Spanish,Peru,Spares,High,,,,PROXY DATA
repuestos motor cg 150 mayorista,Spanish,Peru,Spares,High,,,,PROXY DATA
kit repuestos motor cg,Spanish,Peru,Spares,Medium,,,,PROXY DATA
partes motor cg distribuidor,Spanish,Peru,Spares,Medium,,,,PROXY DATA
motor cg muestra proveedor,Spanish,Peru,Sample inquiry,Low,,,,PROXY DATA
motor cg lote pequeño,Spanish,Peru,Small batch,Low,,,,PROXY DATA
carga mixta motores y repuestos,Spanish,Peru,Mixed load,Low,,,,PROXY DATA
oem motor cg peru,Spanish,Peru,OEM inquiry,Medium,,,,PROXY DATA
motor completo cg 200,Spanish,Peru,Complete engine,High,,,,PROXY DATA
motor completo cg 150,Spanish,Peru,Complete engine,High,,,,PROXY DATA
cotizar motor cg mayorista,Spanish,Peru,Quote intent,High,,,,PROXY DATA
