"Evidence ID","Country","Product scope","Evidence type","Claim supported","URL","Publisher","Access date","Primary/secondary","Reliability","Limitations","Used in score component"
"P4-EC-01","Ecuador","CG150 air-cooled","Vehicle / official brand page","Zongshen Ecuador GN150 vehicle lists 150 cc air-cooled engine","https://zongshenecuador.com/shop/gn150-gn150-1120?category=104","Zongshen Ecuador","2026-07-16","Primary","Medium","Vehicle platform only; not engine purchase demand","Platform fit"
"P4-EC-02","Ecuador","CG150/CG200 parts","Parts retailer","Ecuador retailer lists CG150/200 output shaft","https://mototienda.com.ec/productos/eje-motriz-cg150-200-147mm","Mototienda Ecuador","2026-07-16","Primary","Medium","Parts only","Parts/channel"
"P4-EC-03","Ecuador","CG150/CG200 parts","Distributor","Distributor lists CG150 and CG200 and states national critical-parts distribution","https://comercialamerica.com.ec/productos/","Comercial América","2026-07-16","Primary","Medium","Parts/distribution, not engine demand","Channel"
"P4-EC-04","Ecuador","CG125/CG150/CG200 parts","Parts retailer","Parts listing names CG125/150/200 and Chinese equivalents","https://www.motoprestamoslosrios.com/product-page/eje-primario-de-transmisi%C3%B3n-eje-de-caja","Moto Préstamos Los Ríos","2026-07-16","Primary","Medium","Parts only; no compatibility inference","Parts/channel"
"P4-EC-05","Ecuador","Tricimoto","Government vehicle record","Government retention record contains Lifan/Tundra and tricimoto records","https://www.atm.gob.ec/dcom/INFORMACION/CHATARRIZACION/Listado_de_1906_vehiculos_publicar.pdf","ATM Ecuador","2026-07-16","Primary","Medium","Historic vehicle record, not current engine demand","Platform fit"
"P4-TZ-01","Tanzania","Motorcycle/tricycle/parts","Local company page","Sinoray Tanzania lists motorcycle, motor tricycle and parts/accessories categories with dealer network claim","https://www.sinoraymotor.com/","Sinoray Tanzania","2026-07-16","Primary","Medium","Vehicle/channel signal; not engine demand","Channel/search proxy"
"P4-TZ-02","Tanzania","Lifan tricycle/motorcycle/spares","Dealer directory","Guta Trading listing describes Lifan tricycle, motorcycle and spares distribution","https://www.transplo.com/TZ/Dar-es-Salaam/100291128040937/Guta-Trading-Tanzania-Limited","Transplo business directory","2026-07-16","Secondary","Medium","Directory listing; verify direct channel relationship","Channel"
"P4-TZ-03","Tanzania","Zongshen dealer","Dealer directory","Kazzar listed as Zongshen motorcycle dealer","https://www.tanzapages.com/company/11750/Kazzar_Zongshen_Motorcycle_Dealers","TanzaPages","2026-07-16","Secondary","Low","Directory listing; no engine sales proof","Channel"
"P4-TZ-04","Tanzania","250 water-cooled cargo tricycle","Vehicle listing","Tanzania-targeted cargo tricycle listing specifies 250 cc water cooling","https://www.cargo-tricycle-motorcycle.com/Front/Wz/Goods/detail?id=7847","Supplier listing","2026-07-16","Secondary","Low","Single vehicle listing; not engine-only demand/fit","Vehicle platform"
"P4-TZ-05","Tanzania","Motorcycle/parts","Local directory/social listing","Sinoray Tanzania listing says it imports motorcycles and sells parts","https://www.autoyas.com/TZ/Dar-es-Salaam/103596658397276/Sinoray-motorcycle-Tz","AutoYas","2026-07-16","Secondary","Low","Directory/social listing; verify","Parts/channel"
