"Country","Product","Platform","Engine demand","Channel","Search","Profit","Supply","Total","Tier","Demand type","Evidence IDs","Market confidence","Engine confidence","Compatibility confidence","Launch eligibility"
"Peru","CG125 air-cooled","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Peru","CG150 air-cooled","22","10","10","9","4","7","62","A","Engine","P4-PE-01,P4-PE-02,P4-PE-03,P4-PE-07","High","Medium","Low","VALIDATE FIT"
"Peru","CG175 air-cooled","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Peru","CG200 air-cooled","24","12","10","10","4","7","67","A","Engine","P4-PE-05,P4-PE-06,P4-PE-08","High","Medium","Low","VALIDATE FIT"
"Peru","CG250 air-cooled","9","3","3","3","2","4","24","D","Engine","P4-PE-08","Low","Low","Low","VALIDATE FIT"
"Peru","CG150-250 water-cooled cargo","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Peru","Tsunami water-cooled / dual-cooled","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Peru","Hanwei 200","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Peru","Hanwei 250","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Peru","Hanwei 300","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Peru","Hanwei 350","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Peru","Honda-style 110 horizontal","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Peru","Honda-style 125 horizontal","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Peru","Honda-style 130/140 horizontal","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Peru","Lower-mounted 140","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Peru","Automatic-clutch CG","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Peru","Automatic-clutch horizontal","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Peru","CB150/200/250 off-road","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Peru","EFI water-cooled","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Peru","Engine parts / spares pack","24","0","12","8","5","8","57","B","Aftermarket / parts","P4-PE-04","High","Not applicable","Not applicable","VALIDATE ECONOMICS"
"Uzbekistan","CG125 air-cooled","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Uzbekistan","CG150 air-cooled","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Uzbekistan","CG175 air-cooled","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Uzbekistan","CG200 air-cooled","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Uzbekistan","CG250 air-cooled","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Uzbekistan","CG150-250 water-cooled cargo","22","3","10","9","3","6","53","B","Engine","P4-UZ-01,P4-UZ-02,P4-UZ-05","Medium","Low","Low","VALIDATE FIT"
"Uzbekistan","Tsunami water-cooled / dual-cooled","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Uzbekistan","Hanwei 200","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Uzbekistan","Hanwei 250","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Uzbekistan","Hanwei 300","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Uzbekistan","Hanwei 350","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Uzbekistan","Honda-style 110 horizontal","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Uzbekistan","Honda-style 125 horizontal","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Uzbekistan","Honda-style 130/140 horizontal","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Uzbekistan","Lower-mounted 140","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Uzbekistan","Automatic-clutch CG","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Uzbekistan","Automatic-clutch horizontal","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Uzbekistan","CB150/200/250 off-road","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Uzbekistan","EFI water-cooled","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low","VALIDATE FIT"
"Uzbekistan","Engine parts / spares pack","12","0","7","6","3","7","35","C","Aftermarket / parts","P4-UZ-03,P4-UZ-04,P4-UZ-07","Medium","Not applicable","Not applicable","VALIDATE ECONOMICS"
