"Country","Language","Keyword","Local variation","Chinese meaning","Product","Vehicle/application","Intent","B2B/B2C","Funnel stage","Estimated demand level","Search-volume source","Proxy rationale","CPC/range","Competition","Channel","Match type","Ad group","Landing page","Keyword status","Ads Launch","Negative","Competitor term","Trademark risk","Evidence IDs","Confidence"
"Ecuador","Spanish","motor CG 150 completo","motor CG 150 completo","CG150完整发动机","CG150 air-cooled","motorcycle / tricimoto","Complete engine","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | CG150/200 Complete Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-01","Observed/machine review required"
"Ecuador","Spanish","motor CG 150 completo para moto","motor CG 150 completo para moto","CG150完整发动机","CG150 air-cooled","motorcycle / tricimoto","Complete engine","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | CG150/200 Complete Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-01","Observed/machine review required"
"Ecuador","Spanish","motor CG 150 completo para trabajo","motor CG 150 completo para trabajo","CG150完整发动机","CG150 air-cooled","motorcycle / tricimoto","Complete engine","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | CG150/200 Complete Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-01","Observed/machine review required"
"Ecuador","Spanish","motor CG 150 completo al por mayor","motor CG 150 completo al por mayor","CG150完整发动机","CG150 air-cooled","motorcycle / tricimoto","Complete engine","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | CG150/200 Complete Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-01","Observed/machine review required"
"Ecuador","Spanish","motor CG 150 completo proveedor","motor CG 150 completo proveedor","CG150完整发动机","CG150 air-cooled","motorcycle / tricimoto","Complete engine","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | CG150/200 Complete Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-01","Observed/machine review required"
"Ecuador","Spanish","motor CG 150 completo distribuidor","motor CG 150 completo distribuidor","CG150完整发动机","CG150 air-cooled","motorcycle / tricimoto","Complete engine","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | CG150/200 Complete Engine | Search","/es/ecuador/","Research only","NOT APPROVED","No","No","None","P4-EC-01","Observed/machine review required"
"Ecuador","Spanish","motor CG 150 completo Ecuador","motor CG 150 completo Ecuador","CG150完整发动机","CG150 air-cooled","motorcycle / tricimoto","Complete engine","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | CG150/200 Complete Engine | Search","/es/ecuador/","Research only","NOT APPROVED","No","No","None","P4-EC-01","Observed/machine review required"
"Ecuador","Spanish","motor CG 150 completo para carga","motor CG 150 completo para carga","CG150完整发动机","CG150 air-cooled","motorcycle / tricimoto","Complete engine","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | CG150/200 Complete Engine | Search","/es/ecuador/","Raw candidate","NOT APPROVED","No","No","None","P4-EC-01","Observed/machine review required"
"Ecuador","Spanish","motor CG 150 completo importador","motor CG 150 completo importador","CG150完整发动机","CG150 air-cooled","motorcycle / tricimoto","Complete engine","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | CG150/200 Complete Engine | Search","/es/ecuador/","Raw candidate","NOT APPROVED","No","No","None","P4-EC-01","Observed/machine review required"
"Ecuador","Spanish","motor CG 150 completo catálogo","motor CG 150 completo catálogo","CG150完整发动机","CG150 air-cooled","motorcycle / tricimoto","Complete engine","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | CG150/200 Complete Engine | Search","/es/ecuador/","Raw candidate","NOT APPROVED","No","No","None","P4-EC-01","Observed/machine review required"
"Ecuador","Spanish","motor CG 200 completo","motor CG 200 completo","CG200完整发动机","CG200 air-cooled","work motorcycle","Complete engine","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | CG150/200 Complete Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03","Observed/machine review required"
"Ecuador","Spanish","motor CG 200 completo para moto","motor CG 200 completo para moto","CG200完整发动机","CG200 air-cooled","work motorcycle","Complete engine","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | CG150/200 Complete Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03","Observed/machine review required"
"Ecuador","Spanish","motor CG 200 completo para trabajo","motor CG 200 completo para trabajo","CG200完整发动机","CG200 air-cooled","work motorcycle","Complete engine","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | CG150/200 Complete Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03","Observed/machine review required"
"Ecuador","Spanish","motor CG 200 completo al por mayor","motor CG 200 completo al por mayor","CG200完整发动机","CG200 air-cooled","work motorcycle","Complete engine","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | CG150/200 Complete Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03","Observed/machine review required"
"Ecuador","Spanish","motor CG 200 completo proveedor","motor CG 200 completo proveedor","CG200完整发动机","CG200 air-cooled","work motorcycle","Complete engine","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | CG150/200 Complete Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03","Observed/machine review required"
"Ecuador","Spanish","motor CG 200 completo distribuidor","motor CG 200 completo distribuidor","CG200完整发动机","CG200 air-cooled","work motorcycle","Complete engine","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | CG150/200 Complete Engine | Search","/es/ecuador/","Research only","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03","Observed/machine review required"
"Ecuador","Spanish","motor CG 200 completo Ecuador","motor CG 200 completo Ecuador","CG200完整发动机","CG200 air-cooled","work motorcycle","Complete engine","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | CG150/200 Complete Engine | Search","/es/ecuador/","Research only","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03","Observed/machine review required"
"Ecuador","Spanish","motor CG 200 completo para carga","motor CG 200 completo para carga","CG200完整发动机","CG200 air-cooled","work motorcycle","Complete engine","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | CG150/200 Complete Engine | Search","/es/ecuador/","Raw candidate","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03","Observed/machine review required"
"Ecuador","Spanish","motor CG 200 completo importador","motor CG 200 completo importador","CG200完整发动机","CG200 air-cooled","work motorcycle","Complete engine","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | CG150/200 Complete Engine | Search","/es/ecuador/","Raw candidate","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03","Observed/machine review required"
"Ecuador","Spanish","motor CG 200 completo catálogo","motor CG 200 completo catálogo","CG200完整发动机","CG200 air-cooled","work motorcycle","Complete engine","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | CG150/200 Complete Engine | Search","/es/ecuador/","Raw candidate","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03","Observed/machine review required"
"Ecuador","Spanish","motor para tricimoto","motor para tricimoto","三轮摩托车发动机","CG150 air-cooled","tricimoto","Application research","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Cargo/Tricimoto Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-01,P4-EC-05","Observed/machine review required"
"Ecuador","Spanish","motor para tricimoto para moto","motor para tricimoto para moto","三轮摩托车发动机","CG150 air-cooled","tricimoto","Application research","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Cargo/Tricimoto Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-01,P4-EC-05","Observed/machine review required"
"Ecuador","Spanish","motor para tricimoto para trabajo","motor para tricimoto para trabajo","三轮摩托车发动机","CG150 air-cooled","tricimoto","Application research","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Cargo/Tricimoto Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-01,P4-EC-05","Observed/machine review required"
"Ecuador","Spanish","motor para tricimoto al por mayor","motor para tricimoto al por mayor","三轮摩托车发动机","CG150 air-cooled","tricimoto","Application research","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Cargo/Tricimoto Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-01,P4-EC-05","Observed/machine review required"
"Ecuador","Spanish","motor para tricimoto proveedor","motor para tricimoto proveedor","三轮摩托车发动机","CG150 air-cooled","tricimoto","Application research","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Cargo/Tricimoto Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-01,P4-EC-05","Observed/machine review required"
"Ecuador","Spanish","motor para tricimoto distribuidor","motor para tricimoto distribuidor","三轮摩托车发动机","CG150 air-cooled","tricimoto","Application research","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Cargo/Tricimoto Engine | Search","/es/ecuador/","Research only","NOT APPROVED","No","No","None","P4-EC-01,P4-EC-05","Observed/machine review required"
