"Country","Language","Keyword","Chinese meaning","Product","Intent","Ad group","Proposed landing URL","Research status","Ads eligibility","Native wording status","Estimated demand level","Evidence IDs"
"Peru","Spanish","motor cg 150 completo","Motor CG150 completo","CG150 air-cooled","Complete-engine","PE | CG150 Air-Cooled Trimoto","/es/peru/motor-cg150-trimoto/","Retained","NATIVE REVIEW REQUIRED","Observed in local source","High","P4-PE-01,P4-PE-02,P4-PE-03,P4-PE-07"
"Peru","Spanish","motor cg 200 completo","CG200 cargo engine","CG200 air-cooled","Complete-engine","PE | CG200 Air-Cooled Work/Cargo","/es/peru/motor-cg200-carga/","Retained","NATIVE REVIEW REQUIRED","Observed in local source","High","P4-PE-05,P4-PE-06,P4-PE-08"
"Peru","Spanish","motor cg 250 carguero","CG250 cargo engine","CG250 air-cooled - research only","Research only","PE | CG250 Research Only","/es/peru/motor-cg250-investigacion/","Retained","NATIVE REVIEW REQUIRED","Observed in local source","High","P4-PE-08"
"Peru","Spanish","motor para trimoto de carga","cargo trimoto engine","CG150 air-cooled","Complete-engine","PE | CG150 Air-Cooled Trimoto","/es/peru/motor-cg150-trimoto/","Retained","NATIVE REVIEW REQUIRED","Observed in local source","Medium","P4-PE-01,P4-PE-03,P4-PE-07"
"Peru","Spanish","motor para motocarro de carga","cargo motocarro engine","CG200 air-cooled","Complete-engine","PE | CG200 Air-Cooled Work/Cargo","/es/peru/motor-cg200-carga/","Retained","NATIVE REVIEW REQUIRED","Observed in local source","Medium","P4-PE-05,P4-PE-06"
"Peru","Spanish","proveedor de motores CG","CG engine supplier","CG200 air-cooled","B2B supplier","PE | CG200 Air-Cooled Work/Cargo","/es/peru/motor-cg200-carga/","Retained","NATIVE REVIEW REQUIRED","Observed in local source","Medium","P4-PE-05,P4-PE-06,P4-PE-08"
"Peru","Spanish","repuestos para motor CG150","CG150 engine parts","Engine parts / spares pack","Parts","PE | CG Parts","/es/peru/repuestos-motor-cg/","Retained","FIT REVIEW REQUIRED","Observed in local source","Low","P4-PE-04"
"Peru","Spanish","kit de repuestos para motor CG200","CG200 engine parts kit","Engine parts / spares pack","Parts","PE | CG Parts","/es/peru/repuestos-motor-cg/","Retained","FIT REVIEW REQUIRED","Observed in local source","Low","P4-PE-04"
"Peru","Spanish","motor Lifan CG 200 carguero","Lifan CG200 cargo engine","CG200 air-cooled","Competitor brand research","PE | CG200 Air-Cooled Work/Cargo","/es/peru/motor-cg200-carga/","Retained","NATIVE REVIEW REQUIRED","Observed in local source","Low","P4-PE-05,P4-PE-06"
"Uzbekistan","Russian","двигатель для грузового трицикла","cargo tricycle engine","CG150-250 water-cooled cargo","Complete-engine research","UZ | Water-Cooled Cargo Research","/ru/uzbekistan/gruzovoy-tritsikl-dvigatel/","Retained","NATIVE REVIEW REQUIRED","Machine-generated - review required","High","P4-UZ-01,P4-UZ-02,P4-UZ-05"
"Uzbekistan","Russian","двигатель 250 кубов для трицикла","250cc tricycle engine","CG150-250 water-cooled cargo","Complete-engine research","UZ | Water-Cooled Cargo Research","/ru/uzbekistan/gruzovoy-tritsikl-dvigatel/","Retained","NATIVE REVIEW REQUIRED","Machine-generated - review required","High","P4-UZ-01,P4-UZ-02"
"Uzbekistan","Russian","двигатель 250 см3 с водяным охлаждением","250cc water-cooled engine","CG150-250 water-cooled cargo","Complete-engine research","UZ | Water-Cooled Cargo Research","/ru/uzbekistan/gruzovoy-tritsikl-dvigatel/","Retained","NATIVE REVIEW REQUIRED","Machine-generated - review required","High","P4-UZ-01,P4-UZ-05"
"Uzbekistan","Russian","двигатели для трициклов оптом","wholesale tricycle engines","CG150-250 water-cooled cargo","Wholesale research","UZ | Water-Cooled Cargo Research","/ru/uzbekistan/gruzovoy-tritsikl-dvigatel/","Retained","NATIVE REVIEW REQUIRED","Machine-generated - review required","Medium","P4-UZ-01,P4-UZ-02"
"Uzbekistan","Russian","поставщик двигателей для мототехники","motorcycle engine supplier","CG150-250 water-cooled cargo","B2B supplier","UZ | Water-Cooled Cargo Research","/ru/uzbekistan/gruzovoy-tritsikl-dvigatel/","Retained","NATIVE REVIEW REQUIRED","Machine-generated - review required","Medium","P4-UZ-03,P4-UZ-05"
"Uzbekistan","Russian","запчасти для двигателя Loncin","Loncin engine parts","Engine parts / spares pack","Parts","UZ | Parts / Dealer","/ru/uzbekistan/zapchasti-dvigatelya/","Retained","FIT REVIEW REQUIRED","Machine-generated - review required","Medium","P4-UZ-04,P4-UZ-07"
"Uzbekistan","Russian","запчасти Zongshen 250","Zongshen 250 parts","Engine parts / spares pack","Parts","UZ | Parts / Dealer","/ru/uzbekistan/zapchasti-dvigatelya/","Retained","FIT REVIEW REQUIRED","Machine-generated - review required","Low","P4-UZ-04,P4-UZ-07"
"Uzbekistan","Russian","двигатель Lifan для мотоцикла","Lifan motorcycle engine","CG150-250 water-cooled cargo","Competitor brand research","UZ | Water-Cooled Cargo Research","/ru/uzbekistan/gruzovoy-tritsikl-dvigatel/","Retained","NATIVE REVIEW REQUIRED","Machine-generated - review required","Low","P4-UZ-03"
"Uzbekistan","Russian","yuk tritsikli dvigateli","cargo tricycle engine","CG150-250 water-cooled cargo","Research only","UZ | Water-Cooled Cargo Research","/ru/uzbekistan/gruzovoy-tritsikl-dvigatel/","Retained","NATIVE REVIEW REQUIRED","Machine-generated - review required","Low","P4-UZ-01"
