Evidence ID,Country,Product scope,Evidence classification,Claim,URL,Publisher,Access date,Reliability,Limitations,Permitted use
P4-PE-01,Peru,CG150 air-cooled / 150 trimoto,Vehicle-platform,Government record lists Lifan and Zongshen 150-class passenger trimoto models and cargo-trimoto assembly activity,https://cdn.www.gob.pe/uploads/document/file/2139456/R.D.%2000493-2021-PRODUCE/DOPIF.pdf,Peru PRODUCE,2026-07-16,High,Historic activity record does not quantify engine demand,Platform/vehicle fit only
P4-PE-02,Peru,CG150 air-cooled / 150 trimoto,Vehicle/brand channel,Zonsen Peru lists a 149 cc trimoto and wholesale motorcycle/parts routes,https://zonsenperu.com.pe/moto/zs150-sa-xlh/,Zonsen Peru,2026-07-16,Medium,Brand page does not prove independent engine procurement,Platform/channel only
P4-PE-03,Peru,CG150 air-cooled / cargo trimoto,Vehicle listing,Motocorp lists Zongshen 150 cargo mototaxi products,https://motocorp.pe/motos/por-uso/mototaxi-carga.html?brand%5B0%5D=Honda&brand%5B1%5D=Mavila&brand%5B2%5D=Zongshen&stock_delivery=pickup,Motocorp,2026-07-16,Medium,Dealer listing is not market share or engine demand,Vehicle/application terminology
P4-PE-04,Peru,Engine parts/spares pack; CG125/150/200/250 parts,Parts wholesale,Motorcykel identifies as importer/wholesaler and lists CG125/150/200/250 engine parts in wholesale quantities,https://motorcykel.com.pe/,Motorcykel Peru,2026-07-16,Medium,Parts supply is not complete-engine demand,Aftermarket offer and parts terms only
P4-PE-05,Peru,CG200 air-cooled cargo,Complete-engine listing,Official Lifan marketplace listing offers a CG200 long-shaft cargo engine,https://www.mercadolibre.com.pe/lifan-cg200-carguero-eje-largo-motor-para-motomotocicleta/up/MPEU2929138736,Lifan official store on Mercado Libre,2026-07-16,Medium,Retail listing is not wholesale volume or Chixiang compatibility,Complete-engine supply/demand proxy
P4-PE-06,Peru,CG200 air-cooled,Complete-engine listing,El Pibe lists a Lifan CG200 engine with accessories,https://elpibe.com.pe/producto/motor-cg200-con-accesorios/,El Pibe,2026-07-16,Medium,Single retailer listing does not prove national demand,Complete-engine supply/demand proxy
P4-PE-07,Peru,CG150 air-cooled cargo trimoto,Complete-engine listing,Lucero lists a complete 149 cc air-cooled CG150 with long output shaft for cargo trimoto,https://lucero.com.pe/producto/cg150-completo/,Lucero,2026-07-16,Medium,One configuration cannot establish fit for every trimoto,Complete-engine/application proxy
P4-PE-08,Peru,CG200/CG250 cargo,Marketplace search proxy,Mercado Libre Peru results visibly include CG200 long-shaft cargo and CG250 air-cooled cargo engines,https://listado.mercadolibre.com.pe/motor-para-moto-carguera,Mercado Libre Peru,2026-07-16,Low,Search-result composition is not demand volume,Search/product naming proxy
P4-PE-09,Peru,Zonsen brand channel,Brand/service channel,Grupo Cayman states a national Zonsen service and parts network,https://zonsenperu.com.pe/garantia-post-venta/,Zonsen Peru / Grupo Cayman,2026-07-16,Medium,Self-reported network; no engine interchangeability,Competitor/channel education only
P4-UZ-01,Uzbekistan,250 water-cooled cargo tricycle,Vehicle listing,Smart Market lists a Loncin LX250ZH-11 cargo tricycle with 250 cc water-cooled engine and cardan drive,https://smart-market.uz/ru/product/986781,Smart Market Uzbekistan,2026-07-16,Medium,Vehicle listing does not prove engine-only demand or Chixiang fit,Market-direction/vehicle signal only
P4-UZ-02,Uzbekistan,250 water-cooled cargo tricycle,Marketplace repetition,Multiple Smart Market sellers show Loncin LX250ZH-11 cargo-tricycle offers,https://smart-market.uz/ru/seller/311828703,Smart Market Uzbekistan,2026-07-16,Low,Repeated offers are not sales volume,Market-direction proxy only
P4-UZ-03,Uzbekistan,Lifan engines / parts channel,Engine catalogue,Bikeland markets Lifan engines in Uzbekistan,https://bikeland.uz/engines,Bikeland,2026-07-16,Medium,No specific cargo-250 or replacement-demand proof,Engine/channel signal only
P4-UZ-04,Uzbekistan,Loncin/Lifan parts,Yandex marketplace taxonomy,Yandex Market Uzbekistan exposes Loncin/Lifan motorcycle-parts taxonomy,https://market.yandex.uz/catalog--prochie-zapchasti-i-raskhodniki-dlia-mototekhniki/71336885/list,Yandex Market Uzbekistan,2026-07-16,Low,Parts taxonomy is not Wordstat or complete-engine demand,Parts/search terminology only
P4-UZ-05,Uzbekistan,250 water-cooled cargo tricycle,Bilingual terminology,Smart Market publishes Russian and Uzbek names for the Loncin LX250ZH-11 cargo tricycle,https://smart-market.uz/uz/product/1010912,Smart Market Uzbekistan,2026-07-16,Medium,Supports terminology but not native search-volume validation,Russian/Uzbek terminology only
P4-UZ-06,Uzbekistan,Zongshen/cargo terms,Marketplace search proxy,Avtoelon results include Zongshen and cargo-motorcycle terminology,https://avtoelon.uz/mototehnika/zongshen/gorod-yangiyul/,Avtoelon Uzbekistan,2026-07-16,Low,May include used/private listings; no B2B demand,Competitor/keyword proxy only
P4-UZ-07,Uzbekistan,Zongshen CB/CG250 parts,Parts listing,Yandex Market offers a Zongshen CB/CG250-related carburettor,https://market.yandex.uz/card/karbyurator-pz30-250-sm3-cbcg-250-zs-172fmm-zongshen/5832396119,Yandex Market Uzbekistan,2026-07-16,Low,Parts listing cannot show complete-engine demand,Parts/competitor terminology only
