Evidence ID,Country,Claim,Evidence type,URL,Publisher,Publication date,Access date,Reliability,Primary or secondary,Limitations,Used in output
P4-PE-01,Peru,Peru government record lists Lifan and Zongshen 150-class passenger trimoto models and cargo-trimoto assembly activity,Government vehicle/assembly record,https://cdn.www.gob.pe/uploads/document/file/2139456/R.D.%2000493-2021-PRODUCE/DOPIF.pdf,Peru PRODUCE,2021,2026-07-16,High,Primary,Historic model/activity record does not quantify engine demand,Product demand/platform
P4-PE-02,Peru,Zonsen Peru lists a 149 cc passenger trimoto and wholesale motorcycle/parts contact routes,Official brand/product page,https://zonsenperu.com.pe/moto/zs150-sa-xlh/,Zonsen Peru,Unknown,2026-07-16,Medium,Primary,Brand claim and vehicle offer do not prove complete-engine purchasing,Product demand/competitor
P4-PE-03,Peru,Motocorp lists Zongshen 150 cargo mototaxi products,Dealer category,https://motocorp.pe/motos/por-uso/mototaxi-carga.html?brand%5B0%5D=Honda&brand%5B1%5D=Mavila&brand%5B2%5D=Zongshen&stock_delivery=pickup,Motocorp,Unknown,2026-07-16,Medium,Primary,Dealer listings are not market-share or replacement-demand data,Product demand/keywords
P4-PE-04,Peru,Motorcykel Peru describes itself as a motorcycle-parts importer/wholesaler and lists CG125/150/200/250 and cargo-related engine parts in wholesale quantities,Wholesaler catalogue,https://motorcykel.com.pe/,Motorcykel Peru,Unknown,2026-07-16,Medium,Primary,Parts evidence is not complete-engine demand,Parts/competitor/keywords
P4-PE-05,Peru,Official Lifan marketplace listing offers a CG200 long-shaft cargo engine,Official marketplace storefront,https://www.mercadolibre.com.pe/lifan-cg200-carguero-eje-largo-motor-para-motomotocicleta/up/MPEU2929138736,Lifan official store on Mercado Libre,Unknown,2026-07-16,Medium,Primary,Marketplace listing is retail-visible supply; it is not wholesale volume or Chixiang compatibility proof,Complete-engine/product demand
P4-PE-06,Peru,El Pibe lists a Lifan CG200 engine with accessories,Marketplace retailer,https://elpibe.com.pe/producto/motor-cg200-con-accesorios/,El Pibe,Unknown,2026-07-16,Medium,Primary,Single retailer listing does not prove national demand,Complete-engine/product demand
P4-PE-07,Peru,Lucero lists a complete 149 cc air-cooled CG150 with long dual-function output shaft for cargo trimoto,Marketplace retailer,https://lucero.com.pe/producto/cg150-completo/,Lucero,Unknown,2026-07-16,Medium,Primary,One listed configuration cannot establish fit for every trimoto,Complete-engine/product demand
P4-PE-08,Peru,Mercado Libre Peru search results visibly include CG200 long-shaft cargo and CG250 air-cooled cargo engines,Marketplace search results,https://listado.mercadolibre.com.pe/motor-para-moto-carguera,Mercado Libre Peru,Unknown,2026-07-16,Low,Secondary,Search result composition and listings do not measure demand,Keyword/product demand proxy
P4-PE-09,Peru,Grupo Cayman states it represents Zonsen in Peru and has a national service and parts network,Official service page,https://zonsenperu.com.pe/garantia-post-venta/,Zonsen Peru / Grupo Cayman,Unknown,2026-07-16,Medium,Primary,Self-reported network data; no compatible engine demand inferred,Competitor/channel
P4-UZ-01,Uzbekistan,Smart Market Uzbekistan lists a Loncin LX250ZH-11 cargo tricycle with a 250 cc water-cooled engine and cardan drive,Marketplace product page,https://smart-market.uz/ru/product/986781,Smart Market Uzbekistan,2025,2026-07-16,Medium,Primary,Marketplace vehicle listing does not prove spare-engine demand or Chixiang fit,Product demand/competitor
P4-UZ-02,Uzbekistan,Multiple Smart Market sellers show Loncin LX250ZH-11 cargo tricycle offers,Marketplace seller pages,https://smart-market.uz/ru/seller/311828703,Smart Market Uzbekistan,2025,2026-07-16,Low,Secondary,Multiple listings are a proxy signal not sales volume,Product demand proxy
P4-UZ-03,Uzbekistan,Bikeland markets Lifan engines in Uzbekistan,Official distributor catalogue,https://bikeland.uz/engines,Bikeland,Unknown,2026-07-16,Medium,Primary,Does not establish a specific 200/250 cargo-engine or buyer demand,Complete-engine/channel
P4-UZ-04,Uzbekistan,Yandex Market Uzbekistan exposes Loncin motorcycle-parts taxonomy,Marketplace taxonomy,https://market.yandex.uz/catalog--prochie-zapchasti-i-raskhodniki-dlia-mototekhniki/71336885/list,Yandex Market Uzbekistan,Unknown,2026-07-16,Low,Secondary,Parts taxonomy is not complete-engine demand or Wordstat data,Keyword/parts proxy
P4-UZ-05,Uzbekistan,Smart Market publishes both Russian and Uzbek names for the Loncin LX250ZH-11 cargo tricycle,Marketplace bilingual product pages,https://smart-market.uz/uz/product/1010912,Smart Market Uzbekistan,2025,2026-07-16,Medium,Primary,Supports terminology only; does not quantify search demand,Keyword localisation
P4-UZ-06,Uzbekistan,Avtoelon Uzbekistan search results include Zongshen and cargo-motorcycle terminology,Marketplace search results,https://avtoelon.uz/mototehnika/zongshen/gorod-yangiyul/,Avtoelon Uzbekistan,Unknown,2026-07-16,Low,Secondary,Listings may include used/private supply and are not B2B demand,Competitor/keyword proxy
P4-UZ-07,Uzbekistan,Yandex Market Uzbekistan offers a Zongshen CB/CG250-related carburettor,Marketplace product page,https://market.yandex.uz/card/karbyurator-pz30-250-sm3-cbcg-250-zs-172fmm-zongshen/5832396119,Yandex Market Uzbekistan,Unknown,2026-07-16,Low,Secondary,Parts listing cannot be treated as complete-engine demand,Parts/competitor proxy
