Evidence ID,Country,Claim,Evidence type,URL,Publisher,Publication date,Access date,Reliability,Primary or secondary,Limitations,Used in gate
P3-P01,Peru,Zongshen Peru describes wholesale motorcycle sales and post-sales support,Official brand/service,https://zongshenperu.com/garantia-post-venta/,Zongshen Peru,Unknown,2026-07-15,Medium,Primary,Does not prove complete-engine wholesale demand,Buyer/channel
P3-P02,Peru,Maquirsa sells motorcycle parts and handles Lifan and Zongshen among other brands,Parts wholesaler,https://maquirsa.com/contacto/,Maquirsa,Unknown,2026-07-15,Medium,Primary,Parts presence is not complete-engine demand,Buyer/channel
P3-P03,Peru,Peru government record includes Lifan and Zongshen motorcycle/tricycle models,Government vehicle record,https://cdn.www.gob.pe/uploads/document/file/2139456/R.D.%2000493-2021-PRODUCE/DOPIF.pdf,Peru PRODUCE,2021,2026-07-15,High,Primary,Model record does not quantify replacement demand,Platform
P3-E01,Ecuador,Shineray Ecuador publishes distributor network and public contact details,Official distributor,https://www.shineray.com.ec/distribuidores,Shineray Ecuador,Unknown,2026-07-15,Medium,Primary,Does not prove complete-engine procurement,Buyer/channel
P3-E02,Ecuador,Zongshen Ecuador publishes public contact details,Official brand contact,https://zongshenecuador.com/contacto,Zongshen Ecuador,Unknown,2026-07-15,Medium,Primary,Does not prove complete-engine procurement,Buyer/channel
P3-E03,Ecuador,AEADE affiliate listing identifies motorcycle commercialisation businesses including Motoindustria and Zongshen Ecuador,Industry association,https://www.aeade.net/afiliados/,AEADE,Unknown,2026-07-15,High,Primary,Association listing does not prove engine demand,Channel
P3-T01,Tanzania,Guta Trading states it handles Lifan cargo tricycles motorcycles and spares in Dar es Salaam,Dealer/parts company,https://guta.co.tz/,Guta Trading,Unknown,2026-07-15,Medium,Primary,Does not prove complete-engine wholesale demand,Buyer/channel
P3-T02,Tanzania,Sinoray Tanzania describes motorcycles spare parts and dealer network,Company website,https://www.sinoraymotor.com/,Sinoray Mobility Solutions,Unknown,2026-07-15,Medium,Primary,Does not prove engine procurement,Buyer/channel
P3-T03,Tanzania,EAC notice lists Tanzania CKD motorcycle kit allocations including Fenghao Munib and CRSG,Official gazette,https://www.eac.int/documents?controller=download&file=6c5739ac-842c-43bc-96be-1cd168ed415f&name=EAC+Vol+AT+1+NO+29+SEPTEMBER+2025.pdf&task=download.file,EAC,2025,2026-07-15,High,Primary,CKD allocation does not identify engine supplier or contactability,Assembly
P3-U01,Uzbekistan,Bikeland publicly lists motorcycles tricycles engines and parts,Retailer/service,https://www.bikeland.uz/,Bikeland,Unknown,2026-07-15,Medium,Primary,One retailer is not national channel proof,Buyer/channel
P3-U02,Uzbekistan,Volza page identifies tricycle buyer leads,Import analytics,https://www.volza.com/p/tricycles/buyers/buyers-in-uzbekistan/hsn-code-8704/,Volza,Unknown,2026-07-15,Low,Secondary,Requires paid/manual verification and does not prove engine fit,Buyer
P3-R01,Russia,Loncin Russia public representative page demonstrates brand-channel presence,Official representative,https://loncin.pro/company,Loncin Russia,Unknown,2026-07-15,Medium,Primary,Does not establish compliant import/payment route,Channel
P3-R02,Russia,Lifan Russia public representative page demonstrates brand-channel presence,Official representative,https://lifan-moto.ru/,Lifan Russia,Unknown,2026-07-15,Medium,Primary,Does not establish compliant import/payment route,Channel
P3-R03,Russia,Ozon category shows 140-engine/parts visibility,Marketplace,https://www.ozon.ru/category/dvigatel140/,Ozon,Unknown,2026-07-15,Low,Secondary,Marketplace visibility is not wholesale or complete-engine demand proof,Search
P3-C01,Colombia,ANDI/Fenalco reports registration leaders including Indian-platform brands,Industry registration,https://www.andi.com.co/Home/Noticia/17974-andi-y-fenalco-en-diciembre-de-2025-se,ANDI/Fenalco,2025,2026-07-15,High,Primary,Indian platform evidence is excluded from Chixiang replacement opportunity,Exclusion
P3-C02,Colombia,Marketplace listing shows CG200/250-compatible starter part only,Marketplace parts,https://articulo.mercadolibre.com.co/MCO-3530541364-motor-de-arranque-para-zongshen-loncin-cg200-cg250-_JM,Mercado Libre,Unknown,2026-07-15,Low,Secondary,Parts listing is not complete-engine demand,Exclusion
