"Country","Language","Keyword","Level"
"Ecuador","Spanish","gratis","Campaign"
"Ecuador","Spanish","empleo","Campaign"
"Ecuador","Spanish","trabajo","Campaign"
"Ecuador","Spanish","salario","Campaign"
"Ecuador","Spanish","juguete","Campaign"
"Ecuador","Spanish","juego","Campaign"
"Ecuador","Spanish","manual pdf","Campaign"
"Ecuador","Spanish","moto usada","Campaign"
"Ecuador","Spanish","venta de motos","Campaign"
"Ecuador","Spanish","reparación cerca","Campaign"
"Ecuador","Spanish","tutorial","Campaign"
"Ecuador","Spanish","Bajaj","Ad group"
"Ecuador","Spanish","TVS","Ad group"
"Ecuador","Spanish","Hero","Ad group"
"Ecuador","Spanish","Boxer","Ad group"
"Ecuador","Spanish","Piaggio","Ad group"
"Ecuador","Spanish","Mahindra","Ad group"
"Ecuador","Spanish","Royal Enfield","Ad group"
"Ecuador","Spanish","moto barata","Campaign"
"Ecuador","Spanish","moto nueva","Campaign"
"Ecuador","Spanish","moto eléctrica","Campaign"
"Ecuador","Spanish","alquiler moto","Campaign"
"Ecuador","Spanish","curso moto","Campaign"
"Ecuador","Spanish","mecánico","Campaign"
"Ecuador","Spanish","motor de carro","Campaign"
"Ecuador","Spanish","autos usados","Campaign"
"Ecuador","Spanish","camión usado","Campaign"
"Ecuador","Spanish","bicicleta","Campaign"
"Ecuador","Spanish","juego de motos","Campaign"
"Ecuador","Spanish","pdf gratis","Campaign"
"Tanzania","English","free","Campaign"
"Tanzania","English","jobs","Campaign"
"Tanzania","English","salary","Campaign"
"Tanzania","English","toy","Campaign"
"Tanzania","English","game","Campaign"
"Tanzania","English","manual pdf","Campaign"
"Tanzania","English","used motorcycle","Campaign"
"Tanzania","English","motorcycle for sale","Campaign"
"Tanzania","English","repair near me","Campaign"
"Tanzania","English","DIY","Campaign"
"Tanzania","English","car engine","Campaign"
"Tanzania","English","Bajaj","Ad group"
"Tanzania","English","TVS","Ad group"
"Tanzania","English","Hero","Ad group"
"Tanzania","English","Boxer","Ad group"
"Tanzania","English","Piaggio","Ad group"
"Tanzania","English","Mahindra","Ad group"
"Tanzania","English","Royal Enfield","Ad group"
"Tanzania","English","cheap motorcycle","Campaign"
"Tanzania","English","motorcycle loan","Campaign"
"Tanzania","English","motorcycle training","Campaign"
"Tanzania","English","electric bicycle","Campaign"
"Tanzania","English","used car","Campaign"
"Tanzania","English","car parts","Campaign"
"Tanzania","English","truck engine","Campaign"
"Tanzania","English","scooter for sale","Campaign"
"Tanzania","English","motorcycle game","Campaign"
"Tanzania","English","engine repair course","Campaign"
"Tanzania","English","free download","Campaign"
"Tanzania","English","second hand bike","Campaign"
