"Country","Record type","Entity","Seller/entity name","Channel type","Products observed","Complete-engine status","Evidence IDs","Confidence"
"Ecuador","Competitor brand","Zongshen","Zongshen Ecuador","Vehicle brand page","GN150 150 cc vehicle","Vehicle only","P4-EC-01","Medium"
"Ecuador","Importer/dealer","Comercial América","Comercial América","Distributor","CG150/CG200 parts","Parts/distribution","P4-EC-03","Medium"
"Ecuador","Marketplace/channel","Mototienda","Mototienda","Parts retailer","CG150/200 shaft","Parts only","P4-EC-02","Medium"
"Ecuador","Competitor brand","Lifan","Unknown","No verified country-specific current channel","Historic tricimoto record only","NOT TESTED","P4-EC-05","Low"
"Ecuador","Competitor brand","Loncin","Unknown","No verified country-specific evidence","Unknown","NOT TESTED","No product-specific evidence","Low"
"Ecuador","Competitor brand","Shineray","Unknown","No verified country-specific evidence","Unknown","NOT TESTED","No product-specific evidence","Low"
"Tanzania","Local assembler/brand","Sinoray","Sinoray Tanzania","Local brand/dealer network","Motorcycle/tricycle/parts categories","Vehicle/channel","P4-TZ-01,P4-TZ-05","Medium"
"Tanzania","Importer/dealer","Guta Trading","Guta Trading Tanzania","Dealer listing","Lifan tricycle/motorcycle/spares","Channel/parts","P4-TZ-02","Medium"
"Tanzania","Importer/dealer","Kazzar","Kazzar","Dealer listing","Zongshen motorcycle dealer","Channel only","P4-TZ-03","Low"
"Tanzania","Competitor brand","Loncin","Unknown","No verified country-specific evidence","Unknown","NOT TESTED","No product-specific evidence","Low"
"Tanzania","Competitor brand","Wanhu/Wanxin","Unknown","No verified country-specific evidence","Unknown","NOT TESTED","No product-specific evidence","Low"
