"Country","Product","Platform","Engine demand","Channel","Search","Profit","Supply","Total","Tier","Demand type","Evidence IDs","Market confidence","Engine confidence","Compatibility confidence"
"Ecuador","CG125 air-cooled","8","0","6","5","0","0","19","D","Engine","P4-EC-04","Low","Low","Low"
"Ecuador","CG150 air-cooled","22","3","10","8","0","0","43","C","Engine","P4-EC-01,P4-EC-05","Medium","Low","Low"
"Ecuador","CG175 air-cooled","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Ecuador","CG200 air-cooled","12","0","12","7","0","0","31","C","Engine","P4-EC-02,P4-EC-03,P4-EC-04","Medium","Low","Low"
"Ecuador","CG250 air-cooled","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Ecuador","CG150-250 water-cooled cargo","5","0","2","3","0","0","10","D","Engine","P4-EC-05","Low","Low","Low"
"Ecuador","Tsunami water-cooled / dual-cooled","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Ecuador","Hanwei 200","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Ecuador","Hanwei 250","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Ecuador","Hanwei 300","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Ecuador","Honda-style 110 horizontal","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Ecuador","Honda-style 125 horizontal","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Ecuador","Honda-style 130/140 horizontal","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Ecuador","Automatic-clutch CG","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Ecuador","CB150/200/250 off-road","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Ecuador","EFI water-cooled","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Ecuador","Engine parts / spares pack","20","0","12","8","0","0","40","C","Aftermarket / parts","P4-EC-02,P4-EC-03,P4-EC-04","High","Not applicable","Not applicable"
"Tanzania","CG125 air-cooled","15","0","8","7","0","0","30","C","Engine","P4-TZ-01,P4-TZ-05","Medium","Low","Low"
"Tanzania","CG150 air-cooled","18","0","10","8","0","0","36","C","Engine","P4-TZ-01,P4-TZ-02,P4-TZ-03","Medium","Low","Low"
"Tanzania","CG175 air-cooled","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Tanzania","CG200 air-cooled","9","0","6","5","0","0","20","D","Engine","P4-TZ-01,P4-TZ-02","Low","Low","Low"
"Tanzania","CG250 air-cooled","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Tanzania","CG150-250 water-cooled cargo","10","0","5","5","0","0","20","D","Engine","P4-TZ-04","Low","Low","Low"
"Tanzania","Tsunami water-cooled / dual-cooled","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Tanzania","Hanwei 200","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Tanzania","Hanwei 250","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Tanzania","Hanwei 300","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Tanzania","Honda-style 110 horizontal","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Tanzania","Honda-style 125 horizontal","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Tanzania","Honda-style 130/140 horizontal","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Tanzania","Automatic-clutch CG","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Tanzania","CB150/200/250 off-road","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Tanzania","EFI water-cooled","0","0","0","0","0","0","0","D","Engine","No product-specific evidence","Low","Low","Low"
"Tanzania","Engine parts / spares pack","17","0","12","8","0","0","37","C","Aftermarket / parts","P4-TZ-01,P4-TZ-02,P4-TZ-05","High","Not applicable","Not applicable"
